customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-07-15
2,김정호,F,32,대구,2025-11-28
3,이경수,F,61,성남,2024-07-08
4,조영호,F,55,울산,2026-05-09
5,이예원,F,19,부산,2024-10-09
6,김지원,F,32,성남,2026-07-23
7,이상현,F,53,인천,2025-01-07
8,이성호,M,32,수원,2025-01-19
9,송지민,M,69,서울,2025-11-14
10,유도현,F,62,울산,2024-11-01
11,강채원,M,35,대구,2026-01-16
12,김정남,F,66,대전,2024-10-26
13,고채원,F,23,울산,2025-03-16
14,윤성호,F,40,대전,2025-03-01
15,장정식,M,69,서울,2026-06-30
16,강보람,M,52,부산,2024-08-18
17,이현준,M,23,성남,2026-04-24
18,김순옥,M,58,고양,2023-10-29
19,김성수,M,54,인천,2024-09-22
20,백영호,F,20,인천,2024-12-04
21,박중수,M,23,인천,2026-04-28
22,이상호,F,42,광주,2025-12-23
23,신영자,M,58,대전,2026-01-26
24,김현준,F,41,대전,2025-10-03
25,권준호,F,60,광주,2024-03-28
26,안영자,F,56,대구,2023-11-10
27,최영수,F,28,수원,2024-08-28
28,고경숙,M,35,성남,2024-01-28
29,박수민,F,61,대전,2026-04-25
30,이민재,F,32,서울,2023-08-09
31,양수민,M,43,광주,2025-09-19
32,박미숙,F,31,고양,2026-04-01
33,윤우진,M,31,수원,2024-03-28
34,김진호,M,59,수원,2025-11-04
35,최예지,F,34,대구,2024-01-24
36,양지현,F,65,성남,2024-11-23
37,김영호,M,65,고양,2023-12-04
38,박도윤,M,55,울산,2025-11-08
39,김예은,M,32,대구,2025-12-05
40,박예준,M,23,서울,2024-06-28
41,권정순,F,27,대구,2024-11-30
42,장성호,M,56,부산,2025-10-16
43,김도윤,M,42,고양,2023-09-05
44,김서윤,M,51,광주,2023-11-22
45,김명자,F,61,부산,2023-09-21
46,김서현,M,67,대전,2026-06-08
47,박정웅,F,36,울산,2026-01-07
48,김예은,F,47,서울,2025-04-27
49,김시우,M,50,대구,2025-05-23
50,문도윤,F,58,광주,2026-05-15
51,김영순,F,27,대전,2025-01-12
52,김서연,F,52,성남,2025-11-14
53,이서준,F,56,대전,2024-08-26
54,김지원,M,19,부산,2025-12-05
55,윤영철,M,69,광주,2023-08-26
56,남지혜,F,21,인천,2024-04-18
57,박준호,F,23,수원,2023-11-03
58,김성훈,F,66,성남,2025-07-10
59,한정웅,F,26,수원,2025-12-14
60,박서연,F,34,성남,2024-07-07
61,최유진,M,31,성남,2024-12-03
62,최영일,F,63,광주,2025-11-06
63,성도현,M,60,대전,2024-05-18
64,김준호,M,51,수원,2025-04-22
65,손상호,F,33,인천,2026-02-12
66,김재호,F,39,서울,2025-12-29
67,심서영,F,55,인천,2024-12-04
68,이정남,F,22,서울,2024-11-12
69,남진우,F,22,서울,2023-08-18
70,엄현준,M,22,성남,2023-11-25
71,박미정,F,35,수원,2025-01-27
72,양영미,F,52,대구,2024-04-05
73,정성민,M,33,수원,2026-05-15
74,장윤서,M,30,부산,2026-05-30
